City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
330,Fortaleza,BR,-3.7227,-38.5247,80.22,83,0,5.75,clear sky
331,Porbandar,IN,21.6422,69.6093,81.41,88,100,9.44,overcast clouds
332,Ketchikan,US,55.3422,-131.6461,70.27,52,0,13.8,clear sky
333,Dandong,CN,40.1292,124.3947,73.74,73,0,2.46,clear sky
334,Punta Alta,AR,-38.8759,-62.0736,46.26,69,14,11.07,few clouds
335,Hofn,IS,64.2539,-15.2082,52.03,93,86,19.93,overcast clouds
336,Lucapa,AO,-8.4192,20.7447,64.15,29,0,4.21,clear sky
337,Bonthe,SL,7.5264,-12.505,75.36,91,100,5.68,light rain
338,Mizdah,LY,31.4451,12.9801,73.45,76,0,5.46,clear sky
339,Te Anau,NZ,-45.4167,167.7167,41.81,72,93,1.45,overcast clouds
340,Mount Isa,AU,-20.7333,139.5,73.17,27,5,12.66,clear sky
341,Meulaboh,ID,4.1363,96.1285,77.72,82,92,4.07,overcast clouds
342,Vila Velha,BR,-20.3297,-40.2925,73.35,89,0,8.05,clear sky
343,Orlik,RU,52.5178,99.825,56.73,82,100,2.06,overcast clouds
344,Taoudenni,ML,22.6783,-3.9836,99.36,22,0,15.37,clear sky
345,Zlitan,LY,32.4674,14.5687,79.12,76,0,0.87,clear sky
346,Altamira,BR,-3.2033,-52.2064,76.14,54,6,2.39,clear sky
347,Kampong Thum,KH,12.7111,104.8887,78.39,85,58,3.67,broken clouds
348,Kautokeino,NO,69.0125,23.0412,49.66,83,100,2.44,overcast clouds
