City,City.1,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
181,Itacoatiara,BR,83.95,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
182,Martapura,ID,82.49,few clouds,-3.4167,114.85,Montana Hotel Syariah
183,San Lawrenz,MT,79.86,clear sky,36.0553,14.204,San Andrea Hotel
184,Almeirim,BR,80.92,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
185,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
186,Kerouane,GN,70.05,light rain,9.2667,-9.0167,Hotel Seka Seka
187,San Felipe,VE,73.17,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
188,Brandon,US,79.29,clear sky,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
189,Grand Gaube,MU,70.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
190,Anuradhapura,LK,76.3,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
191,Kandi,BJ,72.43,few clouds,11.1342,2.9386,Hébergement de la Poste
192,Jalu,LY,80.58,clear sky,29.0331,21.5482,صاحبة الفخامة
193,Pingliang,CN,76.37,overcast clouds,35.5392,106.6861,North Gate Hostel
194,Omboue,GA,72.66,overcast clouds,-1.5746,9.2618,Hotel Olako
195,Gold Coast,AU,70.25,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
196,Caravelas,BR,70.43,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
197,Coahuayana,MX,82.62,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
198,Weatherford,US,82.85,overcast clouds,32.7593,-97.7972,Woodland Suites
199,Maues,BR,79.11,overcast clouds,-3.3836,-57.7186,Hotel Miramar
200,Lancaster,US,79.02,scattered clouds,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
201,Trebinje,BA,79.16,clear sky,42.7119,18.3442,Hotel Aćimović
202,Stanislav,UA,71.74,overcast clouds,46.5691,32.1478,Hostynnyy Dvir
203,Marzuq,YE,76.03,overcast clouds,14.4,46.4667,
204,Pedernales,DO,82.9,clear sky,18.0384,-71.744,Hotel Costa Marina
205,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
206,Zhuhai,CN,83.98,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
207,Sao Joao Da Barra,BR,70.63,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
208,Gigmoto,PH,83.84,overcast clouds,13.7796,124.39,Cj's Travellers Inn
209,Sinnamary,GF,78.26,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
210,Micheweni,TZ,74.08,broken clouds,-4.9667,39.8333,
211,Manta,EC,71.38,broken clouds,-0.95,-80.7333,Balandra Hotel
212,Tabou,CI,74.59,overcast clouds,4.423,-7.3528,hotêl doufoulougou
213,Harper,LR,74.64,overcast clouds,4.375,-7.7169,Screensaver
214,Lockhart,US,83.14,broken clouds,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
215,Cockburn Town,TC,81.28,clear sky,21.4612,-71.1419,Osprey Beach Hotel
216,Finschhafen,PG,82.31,overcast clouds,-6.6024,147.8681,Cossam Guest House
217,Virden,US,73.71,scattered clouds,39.5009,-89.7679,Virden Nail Spa
218,Barkhan,PK,81.19,few clouds,29.8977,69.5256,Sardar
219,Kiunga,PG,81.41,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
220,Fano,IT,79.79,clear sky,43.8204,13.0121,Hotel Paradise Fano
221,Cabungan,PH,81.12,light rain,16.3365,119.9991,Sarmiento Beach House
222,Marawi,PH,77.97,scattered clouds,7.9986,124.2928,Derogongan Residence
223,Aguie,NE,81.3,few clouds,13.506,7.7786,
224,Bodden Town,KY,80.01,broken clouds,19.2833,-81.25,Will T Place
225,Moussoro,TD,83.48,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
226,Duki,PK,78.62,few clouds,30.1541,68.5728,ماسٹر رشید مرحوم
227,Karratha,AU,71.11,clear sky,-20.7377,116.8463,ibis Styles Karratha
228,Huanren,CN,78.93,clear sky,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
229,Brooks,CA,82.38,clear sky,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
230,Salamanca,ES,75.74,light rain,40.8333,-6.0,Palacio Carrascalino
231,Sarkand,KZ,72.43,overcast clouds,45.41,79.9186,Гостиница Сарканд
232,Sohag,EG,84.49,clear sky,26.557,31.6948,Civil Registry - Sohag 1
233,Kamaishi,JP,81.86,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
234,Salinas,US,77.43,few clouds,36.6777,-121.6555,Laurel Inn & Conference Center
235,Fare,PF,74.41,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
236,Karimganj,IN,79.3,light rain,24.8667,92.35,AHAR /AHELI HOTEL & RESTAURANT
237,Zyryanka,RU,79.02,few clouds,65.75,150.85,
238,Aitape,PG,82.56,overcast clouds,-3.1374,142.3475,
239,Ixtapa,MX,83.43,broken clouds,20.7,-105.2,hotel la terminal
240,Japura,ID,82.87,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
241,Pinotepa Nacional,MX,75.58,overcast clouds,16.3167,-98.0167,Hotel Maria Del Carmen
242,Wanning,CN,78.87,overcast clouds,18.8003,110.3967,Paradise Hotel
243,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
244,Kulhudhuffushi,MV,80.91,broken clouds,6.6221,73.07,Haajy Guest House 1
245,Manavalakurichi,IN,77.74,overcast clouds,8.1333,77.3,Jebinrio home
246,Kota Kinabalu,MY,84.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
247,Whitehorse,CA,71.02,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
248,Abashiri,JP,73.69,light rain,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
249,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
250,Mukhen,RU,72.23,broken clouds,48.1,136.1,
251,Matadi,CD,70.36,clear sky,-5.8167,13.45,Hotel Vivi Palace
252,Tateyama,JP,83.26,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
253,Shetpe,KZ,76.19,few clouds,44.1667,52.1167,Rtsm Shetpe Analog
254,Surt,LY,80.76,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
255,Paka,MY,76.98,light rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
256,Chauk,MM,80.64,overcast clouds,20.8833,94.8167,Bo Khin Guest House
257,Griffith,US,70.05,clear sky,41.5284,-87.4237,Apartment above Depot Bar
258,Hay River,CA,76.98,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
259,Port Blair,IN,82.44,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
260,Ponta Delgada,PT,70.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
261,Athabasca,CA,70.21,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
262,Corn Island,NI,81.9,overcast clouds,12.1694,-83.0418,Big Fish Guest House
263,Takaungu,KE,70.29,light rain,-3.6837,39.8566,Takaungu House
264,Westport,US,83.53,overcast clouds,41.1415,-73.3579,The Westport Inn
265,Bambanglipuro,ID,80.62,overcast clouds,-7.95,110.2833,Puri Brata
266,Veraval,IN,80.6,overcast clouds,20.9,70.3667,Lords Inn Somnath
267,Dingle,PH,82.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
268,Acarau,BR,77.61,broken clouds,-2.8856,-40.12,castelo pizzaria
269,Bud,US,73.31,broken clouds,39.447,-86.1758,Ted McQuinn Trust
270,Lumphat,KH,74.79,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
271,Fort Nelson,CA,76.59,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
272,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
273,Madimba,TZ,71.87,overcast clouds,-10.4,40.3333,
274,Akhtubinsk,RU,77.16,few clouds,48.2795,46.1722,Vzlet
275,Nicoya,CR,76.5,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
276,Petionville,HT,71.29,clear sky,18.5125,-72.2853,Hotel NH Haiti El Rancho
277,Sabha,LY,82.33,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
278,Khash,IR,78.49,broken clouds,28.2211,61.2158,خوابگاه آبجی محدثه
279,Pulandian,CN,77.97,clear sky,39.3953,121.9669,HR East Hotel
280,Manuk Mangkaw,PH,82.6,broken clouds,4.8,119.85,
281,Dwarka,IN,83.21,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
282,Carutapera,BR,75.22,few clouds,-1.195,-46.02,Lidera
283,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
284,Bastia,FR,80.29,scattered clouds,42.6667,9.3333,Hotel Santa Maria
285,Xiongzhou,CN,83.86,broken clouds,25.1167,114.3,Xinhewan Business Hotel
286,Sao Paulo De Olivenca,BR,76.01,overcast clouds,-3.3783,-68.8725,
287,Gizo,SB,83.59,light rain,-8.103,156.8419,Imagination Island
288,Ossipee,US,72.01,broken clouds,43.6854,-71.1167,Ken & Denise - Slice of heaven
289,Tessalit,ML,84.72,overcast clouds,20.1986,1.0114,
290,Turayf,SA,77.25,clear sky,31.6725,38.6637,Turaif
291,Point Pedro,LK,81.68,overcast clouds,9.8167,80.2333,Gtr homes
292,Bubaque,GW,80.33,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
293,Linxia,CN,73.87,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
294,Eureka,US,71.2,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
295,Xining,CN,70.09,moderate rain,36.6167,101.7667,Super Leisure Hotel
296,Nautla,MX,81.45,few clouds,20.2167,-96.7833,Casa Blanca
297,Vasto,IT,73.69,overcast clouds,42.1243,14.7059,Hotel President
298,Rome,US,78.76,few clouds,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
299,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
300,Bara,NG,74.07,broken clouds,10.3744,10.7288,
301,Anda,CN,76.21,clear sky,46.4,125.3167,Shuntong Hotel
302,Pangai,TO,84.31,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
303,Inongo,CD,71.22,broken clouds,-1.95,18.2667,Hotel Du Lac
304,Awjilah,LY,78.96,clear sky,29.1081,21.2869,المنزل
305,Ormara,PK,84.9,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
306,Felanitx,ES,77.02,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
307,Hovd,MN,72.12,scattered clouds,48.0056,91.6419,Hotel Khovd
308,Kisangani,CD,70.86,broken clouds,0.5167,25.2,Grand Ramela Hotel
309,Mandiana,GN,72.18,moderate rain,10.6333,-8.6833,Centre d'accueil de Mandiana
310,Nisia Floresta,BR,77.38,clear sky,-6.0911,-35.2086,Rancho Crepusculo
311,Alamosa,US,75.18,clear sky,37.4695,-105.87,Best Western Alamosa Inn
312,Mitsamiouli,KM,75.54,few clouds,-11.3847,43.2844,Foyer ADM
313,Saint Charles,US,75.49,clear sky,38.7667,-90.7335,Hilton Garden Inn St. Louis/O'Fallon MO
314,Bull Savanna,JM,77.41,overcast clouds,17.8868,-77.5902,Big Red's
315,Hangu,CN,75.24,clear sky,39.2489,117.7892,Chongli Xuexiang Family Express Inn
316,Shubarkuduk,KZ,72.45,clear sky,49.1447,56.4872,Sirius
317,Orocue,CO,75.34,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
